store_name	code	product_ean	location
Yashkino	RU	9098716904409	Asia/Novokuznetsk
Guyong	PH	2956612732755	Asia/Manila
Ukmerge	LT	5483477776992	Europe/Vilnius
Tupi	PH	9418361442499	Asia/Manila
Lakewood	US	6055635411558	America/New_York
Copperas Cove	US	1805277223430	America/Chicago
Brentwood Estates	US	6995131940681	America/Chicago
Calauan	PH	8082353623503	Asia/Manila
Miracema	BR	7650827718508	America/Sao_Paulo
Herblay	FR	0359404778658	Europe/Paris
Supaul	IN	2356017372479	Asia/Kolkata
Baliuag	PH	4009309156766	Asia/Manila
Boyeros	CU	0137764051495	America/Havana
Minokamo	JP	1949951688624	Asia/Tokyo
Ukmerge	LT	0800186073825	Europe/Vilnius
Devizes	GB	2461304976244	Europe/London
Ina	JP	0276029073688	Asia/Tokyo
Tiruppuvanam	IN	3367717278489	Asia/Kolkata
Le Chesnay	FR	1522408428426	Europe/Paris
Magomeni	TZ	9469589083582	Africa/Dar_es_Salaam
Middle River	US	7430323460152	America/New_York
Montana	BG	9459341988996	Europe/Sofia
Kent	US	1838795451993	America/Los_Angeles
Wacheng	CN	6978780711536	Asia/Shanghai
Boo	SE	0249315548177	Europe/Stockholm
Ambatondrazaka	MG	4977488703906	Indian/Antananarivo
Quimper	FR	5622900357036	Europe/Paris
Novelda	ES	6275366520835	Europe/Madrid
Troutdale	US	6351373962582	America/Los_Angeles
Copperas Cove	US	1283597290453	America/Chicago
Esperanza	AR	0850286105575	America/Argentina/Cordoba
Santa Rosa Jauregui	MX	8610988096562	America/Mexico_City
Gainsborough	GB	2657629076022	Europe/London
Porterville	US	8566074431055	America/Los_Angeles
Hasilpur	PK	7410666234375	Asia/Karachi
San Juan	US	1983015168493	America/Chicago
Pfullingen	DE	2749103200112	Europe/Berlin
Venice	US	1906653710473	America/New_York
Visitacion Valley	US	3938170738010	America/Los_Angeles
Ulan-Ude	RU	9288003951524	Asia/Irkutsk
Gilbert	US	8772114118309	America/Phoenix
Somoto	NI	9160663033966	America/Managua
Dharmapuri	IN	9068018215602	Asia/Kolkata
Jambi City	ID	9310377144940	Asia/Jakarta
New Canaan	US	7915744996898	America/New_York
Kherson	UA	2248679064277	Europe/Kiev
Farafenni	GM	4005317580739	Africa/Banjul
Kasangulu	CD	0127126972209	Africa/Kinshasa
Great Wyrley	GB	1033536449394	Europe/London
Inverness	GB	0423035908286	Europe/London
Puducherry	IN	9185820403758	Asia/Kolkata
Chilibre	PA	7667504776447	America/Panama
Waverly	US	9644800022025	America/Detroit
Jiangyan	CN	1889890032198	Asia/Shanghai
Lompoc	US	4371505418635	America/Los_Angeles
Las Gabias	ES	5813532756322	Europe/Madrid
Haldwani	IN	5835700019855	Asia/Kolkata
High Wycombe	GB	6210537146568	Europe/London
Alipur	PK	4470374953732	Asia/Karachi
Palm Valley	US	5816366779864	America/New_York
Hengshui	CN	5984337746846	Asia/Shanghai
Kingston upon Hull	GB	4834052307710	Europe/London
Hasilpur	PK	1101807136479	Asia/Karachi
Esmeraldas	BR	1800416949967	America/Sao_Paulo
Espoo	FI	9056265139666	Europe/Helsinki
Talisay	PH	8775068893681	Asia/Manila
Krymsk	RU	5009544087237	Europe/Moscow
Olanchito	HN	4878463483106	America/Tegucigalpa
Kati	ML	8847145038305	Africa/Bamako
Miracema	BR	6422488654829	America/Sao_Paulo
Hita	JP	2915330316357	Asia/Tokyo
Saraj	MK	6472962997737	Europe/Skopje
Isfahan	IR	4314780549458	Asia/Tehran
Bergama	TR	3279343578270	Europe/Istanbul
Patnos	TR	5193073786775	Europe/Istanbul
Gavrilov-Yam	RU	1445152665377	Europe/Moscow
Milledgeville	US	8081555886617	America/New_York
Freetown	SL	7422722330624	Africa/Freetown
Brazzaville	CG	6872649742238	Africa/Brazzaville
Tinaquillo	VE	5784536278649	America/Caracas
Kent	US	2476890302001	America/Los_Angeles
Cebu City	PH	8390363362863	Asia/Manila
Somma Vesuviana	IT	8300853733783	Europe/Rome
Sukabumi	ID	6933582285678	Asia/Jakarta
Jhol	PK	5733137506514	Asia/Karachi
Barras	BR	5667960408540	America/Fortaleza
Rio Real	BR	7034702716016	America/Bahia
Jinotepe	NI	2572175093258	America/Managua
Nowshahr	IR	0172443175864	Asia/Tehran
Surbiton	GB	7898650987818	Europe/London
Diwek	ID	2337656829357	Asia/Jakarta
Bachhraon	IN	7348520244546	Asia/Kolkata
Troutdale	US	8804857815006	America/Los_Angeles
Lakewood	US	2068176043755	America/New_York
Novara	IT	4236410379580	Europe/Rome
Zacoalco de Torres	MX	3123503313853	America/Mexico_City
Taunton	US	6340948494924	America/New_York
Culemborg	NL	4227079909386	Europe/Amsterdam
Sterling	US	9212528967111	America/New_York
Pato Branco	BR	6029056594831	America/Sao_Paulo
Talence	FR	8589457630166	Europe/Paris
Mongo	TD	1182113379460	Africa/Ndjamena
Visitacion Valley	US	8468787538246	America/Los_Angeles
Tak Bai	TH	1355749475343	Asia/Bangkok
Griffith	AU	2651571334773	Australia/Sydney
Viewpark	GB	2985063516614	Europe/London
Mitry-Mory	FR	6199055402755	Europe/Paris
Columbia Heights	US	0938211952699	America/Chicago
Otegen Batyra	KZ	4954390740236	Asia/Almaty
San Juan	US	8993873582488	America/Chicago
Heroica Matamoros	MX	7130823405126	America/Matamoros
Labuhan Deli	ID	8933074736891	Asia/Jakarta
Houthalen	BE	3844683409975	Europe/Brussels
Yunguyo	PE	7013765565663	America/Lima
Dongfeng	CN	8165345065281	Asia/Shanghai
Parola	IN	6837311328721	Asia/Kolkata
Gifhorn	DE	6156945571069	Europe/Berlin
Olupona	NG	7273328924287	Africa/Lagos
Gandia	ES	8818411307883	Europe/Madrid
Belper	GB	2005158897166	Europe/London
Bothell West	US	7522604798068	America/Los_Angeles
Nampa	US	0365710742290	America/Boise
Bijeljina	BA	3841745403872	Europe/Sarajevo
Serinhisar	TR	4704326542324	Europe/Istanbul
Saint-Genis-Laval	FR	5643903181077	Europe/Paris
Amreli	IN	1485038412381	Asia/Kolkata
Lodwar	KE	0112894229136	Africa/Nairobi
Strzelce Opolskie	PL	4714147892683	Europe/Warsaw
Leteri	IN	3627640881621	Asia/Kolkata
Jagna	PH	5774143293951	Asia/Manila
Santa Cruz de Barahona	DO	0649472499686	America/Santo_Domingo
Davangere	IN	0242127046497	Asia/Kolkata
Pontevedra	AR	2780459226548	America/Argentina/Buenos_Aires
Covington	US	6759039940675	America/New_York
Puducherry	IN	8264450487442	Asia/Kolkata
Petrozavodsk	RU	4239862023797	Europe/Moscow
Lesozavodsk	RU	7313262704399	Asia/Vladivostok
Barbil	IN	2929170581899	Asia/Kolkata
Eppingen	DE	6016656511474	Europe/Berlin
Rosemount	US	3128873313809	America/Chicago
Jagna	PH	8861250074768	Asia/Manila
Palm Valley	US	0640528899146	America/New_York
Mvomero	TZ	9301235972201	Africa/Dar_es_Salaam
Dax	FR	8113043556181	Europe/Paris
Zeitz	DE	8281192262298	Europe/Berlin
Buenaventura	CO	5790715406963	America/Bogota
Pahrump	US	9506336777391	America/Los_Angeles
Sydney	CA	3086156384321	America/Glace_Bay
Kismayo	SO	9596460994511	Africa/Mogadishu
Palm Desert	US	4383395957941	America/Los_Angeles
Oberhausen	DE	1491447454454	Europe/Berlin
Porterville	US	4959326544001	America/Los_Angeles
Barnet	GB	9763960228105	Europe/London
Socorro	CO	1750624952214	America/Bogota
American Canyon	US	7020302039396	America/Los_Angeles
San Fernando de Henares	ES	2133738072228	Europe/Madrid
Simpang	ID	5041245991673	Asia/Jakarta
South Whittier	US	0186489213077	America/Los_Angeles
Ksar Chellala	DZ	3412895929811	Africa/Algiers
Aschaffenburg	DE	5212688975197	Europe/Berlin
Vahdat	TJ	5447350191890	Asia/Dushanbe
Nkpor	NG	0108026523180	Africa/Lagos
Nowshahr	IR	0737161457564	Asia/Tehran
Temara	MA	9075923864634	Africa/Casablanca
Freetown	SL	5213811723609	Africa/Freetown
Silvan	TR	5637825123499	Europe/Istanbul
Zhukovka	RU	8228002838595	Europe/Moscow
Chacabuco	AR	4831207733202	America/Argentina/Buenos_Aires
Astara	AZ	1180449017155	Asia/Baku
Liaoyang	CN	0321868498908	Asia/Shanghai
Beryozovsky	RU	6750709953414	Asia/Yekaterinburg
La Victoria	VE	9109344932990	America/Caracas
Dawei	MM	6347522967010	Asia/Yangon
Karlovy Vary	CZ	1997093459473	Europe/Prague
Supaul	IN	6432941574410	Asia/Kolkata
Shinshiro	JP	9820809098739	Asia/Tokyo
Ataq	YE	9829333167508	Asia/Aden
Tarkwa	GH	3525747240559	Africa/Accra
Belle Glade	US	1406052779700	America/New_York
Schleswig	DE	1459335582030	Europe/Berlin
Madhipura	IN	6728722934550	Asia/Kolkata
Niort	FR	6444795604687	Europe/Paris
Soledade	BR	3853260718447	America/Sao_Paulo
Afragola	IT	8323370293950	Europe/Rome
Frankston South	AU	5072523870557	Australia/Melbourne
Siegburg	DE	0936149045445	Europe/Berlin
Rwamagana	RW	1877662020481	Africa/Kigali
Karlovy Vary	CZ	9230186623309	Europe/Prague
Riverbank	US	9072659779447	America/Los_Angeles
Glendale	US	0190147812533	America/Los_Angeles
Cardedeu	ES	7011058612841	Europe/Madrid
Maliana	TL	8391216649001	Asia/Dili
Loanda	BR	1739941231875	America/Sao_Paulo
Schiebroek	NL	8990272384460	Europe/Amsterdam
Varadero	CU	8333711526739	America/Havana
Losheim	DE	6105005650374	Europe/Berlin
Otradnyy	RU	0378717551666	Europe/Samara
Changshu City	CN	6407835950298	Asia/Shanghai
Sirsi	IN	8956859347006	Asia/Kolkata
Jizzax	UZ	7115596267119	Asia/Samarkand
Clermont	US	1897402560022	America/New_York
Kediri	ID	8298158659795	Asia/Jakarta
Murray	US	0911937222390	America/Chicago
Norfolk County	CA	4915601641131	America/Toronto
Kovylkino	RU	6855842520957	Europe/Moscow
Nakhon Pathom	TH	8853458302026	Asia/Bangkok
Hutchinson	US	8159396498495	America/Chicago
Aytos	BG	2557655574892	Europe/Sofia
Alwaye	IN	4312911054802	Asia/Kolkata
Namerikawa	JP	3257367161319	Asia/Tokyo
Thetford	GB	3690178198189	Europe/London
Standerton	ZA	7945789065006	Africa/Johannesburg
Baza	ES	1291304981891	Europe/Madrid
Khairpur Mir’s	PK	5698533266205	Asia/Karachi
Brentwood Estates	US	9035652446136	America/Chicago
Naushahra Virkan	PK	0784701948211	Asia/Karachi
Pucheng	CN	7520839751230	Asia/Shanghai
Rosemount	US	7915068269876	America/Chicago
Beaconsfield	CA	2156735439436	America/Toronto
Progreso	MX	2714071409201	America/Merida
Goyang-si	KR	4577864197376	Asia/Seoul
Dax	FR	2446432252385	Europe/Paris
Eppingen	DE	7445229947508	Europe/Berlin
San Juan	US	7963165565315	America/Chicago
Norco	US	8877406181969	America/Los_Angeles
Middletown	US	3464697317099	America/New_York
Pameungpeuk	ID	8206319841842	Asia/Jakarta
Ajaccio	FR	1001308204960	Europe/Paris
New Kingston	JM	1281385953580	America/Jamaica
Itabirito	BR	6923034249822	America/Sao_Paulo
Kallio	FI	4453043370566	Europe/Helsinki
Contla	MX	4383133937945	America/Mexico_City
Hardenberg	NL	0336238135789	Europe/Amsterdam
Malnate	IT	3900619021564	Europe/Rome
Isfahan	IR	7268821371409	Asia/Tehran
Resplendor	BR	6405089261054	America/Sao_Paulo
Gorakhpur	IN	1449031484660	Asia/Kolkata
Kidodi	TZ	7956093452604	Africa/Dar_es_Salaam
Norwalk	US	5114799881735	America/New_York
Lebanon	US	0046315839485	America/New_York
Gainesville	US	0495496482896	America/New_York
Sceaux	FR	8308640569959	Europe/Paris
Buynaksk	RU	0805439698930	Europe/Moscow
Milagro	EC	9396174275223	America/Guayaquil
Leteri	IN	1664260193248	Asia/Kolkata
Rutherglen	GB	3735489902305	Europe/London
Lino Lakes	US	0044002813251	America/Chicago
Gembloux	BE	0560420408157	Europe/Brussels
Pointe-Claire	CA	5512114290468	America/Toronto
San Rafael	CR	5542446933191	America/Costa_Rica
Itacoatiara	BR	2272395268602	America/Manaus
Soroca	MD	7158224999204	Europe/Chisinau
Gembloux	BE	6417304079597	Europe/Brussels
Falconara Marittima	IT	5807983899677	Europe/Rome
Albufeira	PT	5632772424514	Europe/Lisbon
Woodlawn	US	1110123881376	America/New_York
Sceaux	FR	6752808229902	Europe/Paris
Guli	CN	2006377280333	Asia/Shanghai
New Canaan	US	6110330168579	America/New_York
Kolomyagi	RU	0001953227407	Europe/Moscow
Sankt Peter	AT	5704998285580	Europe/Vienna
Esperanza	AR	0137665002374	America/Argentina/Cordoba
Gua Musang	MY	6128246330065	Asia/Kuala_Lumpur
Frenda	DZ	4855078762154	Africa/Algiers
Ushuaia	AR	9347598252291	America/Argentina/Ushuaia
Waterbury	US	2331627929176	America/New_York
Jashpurnagar	IN	1891070123794	Asia/Kolkata
Santa Gertrudes	BR	4858750112247	America/Sao_Paulo
Strathfield	AU	4672511154440	Australia/Sydney
Boli	CN	9996956204030	Asia/Shanghai
Punta Gorda Isles	US	3953390773191	America/New_York
Leland	US	8833719095096	America/New_York
Strathfield	AU	5099822971143	Australia/Sydney
Cabo	BR	2511728494036	America/Recife
La Ligua	CL	5311699024815	America/Santiago
Zhoucun	CN	3452232806443	Asia/Shanghai
Gainesville	US	9646861273071	America/New_York
Bothell West	US	5633120697352	America/Los_Angeles
Tyler	US	5816568382664	America/Chicago
Kyaikto	MM	7164858640184	Asia/Yangon
Bron	FR	4781961119784	Europe/Paris
Yakuplu	TR	0303867763638	Europe/Istanbul
Teluk Intan	MY	5190947814060	Asia/Kuala_Lumpur
Trossingen	DE	7455712429343	Europe/Berlin
Rafiganj	IN	9889000758736	Asia/Kolkata
Ukmerge	LT	1756406166367	Europe/Vilnius
Kahului	US	0312245551255	Pacific/Honolulu
Brunswick	US	0389770759333	America/New_York
Frenda	DZ	1345935956046	Africa/Algiers
Ar Ruseris	SD	1913202122212	Africa/Khartoum
Davangere	IN	4441580883076	Asia/Kolkata
Ramla	IL	2239422885904	Asia/Jerusalem
Crystal Lake	US	7894561989347	America/Chicago
Dyat’kovo	RU	4990153609389	Europe/Moscow
Abilene	US	2332701929532	America/Chicago
Binnish	SY	0002661476804	Asia/Damascus
Changzhi	CN	0088153952865	Asia/Shanghai
Goyang-si	KR	2390312439802	Asia/Seoul
Diamond Harbour	IN	0253670100673	Asia/Kolkata
Punta Gorda Isles	US	8503186896075	America/New_York
Reutlingen	DE	9267119810321	Europe/Berlin
Juhaynah	EG	4679741660796	Africa/Cairo
Buynaksk	RU	5270031918758	Europe/Moscow
Brentwood Estates	US	4700647493130	America/Chicago
Diamond Harbour	IN	5240145813102	Asia/Kolkata
Lal Bahadur Nagar	IN	2781193292783	Asia/Kolkata
Crystal Lake	US	0817985872511	America/Chicago
Middletown	US	1635234810584	America/New_York
Damnoen Saduak	TH	0609667091026	Asia/Bangkok
Bordj Zemoura	DZ	4124751823667	Africa/Algiers
Periyakulam	IN	7885829698231	Asia/Kolkata
Tyoply Stan	RU	7855464703256	Europe/Moscow
Andijon	UZ	3594122204738	Asia/Tashkent
Debre Tabor	ET	6891622413293	Africa/Addis_Ababa
Guyong	PH	6050134504008	Asia/Manila
Bogoroditsk	RU	4979221525417	Europe/Moscow
Khairpur Mir’s	PK	4427784261209	Asia/Karachi
Periyakulam	IN	2791167743623	Asia/Kolkata
Artur Nogueira	BR	2192723351922	America/Sao_Paulo
Busia	KE	5628828484137	Africa/Nairobi
Zhoucun	CN	7788986674677	Asia/Shanghai
East Haven	US	2034682082823	America/New_York
Darreh Shahr	IR	8042171286786	Asia/Tehran
Marseille 11	FR	0538847529212	Europe/Paris
Idenao	CM	1196473636958	Africa/Douala
Pucheng	CN	7253416976602	Asia/Shanghai
Boston	US	9272815896999	America/New_York
Karatsu	JP	3249132433424	Asia/Tokyo
Oaxaca	MX	9651135226233	America/Mexico_City
Cibinong	ID	5483711231256	Asia/Jakarta
Newburgh	US	7626116353767	America/New_York
Kyaikto	MM	9584211662024	Asia/Yangon
Laiwu	CN	8754544942402	Asia/Shanghai
Ghat	LY	8995149908183	Africa/Tripoli
Valletta	MT	2999942657732	Europe/Malta
Vahdat	TJ	7484468897038	Asia/Dushanbe
Kismayo	SO	1460468376892	Africa/Mogadishu
Pottstown	US	4302594234448	America/New_York
Muritiba	BR	7727473641532	America/Bahia
Magong	TW	0163356020228	Asia/Taipei
Kaukauna	US	6058256912268	America/Chicago
Olupona	NG	8043156609224	Africa/Lagos
Yasothon	TH	9280100850915	Asia/Bangkok
Leteri	IN	9388035994961	Asia/Kolkata
Kasangulu	CD	0978024290939	Africa/Kinshasa
Daud Khel	PK	9986069177840	Asia/Karachi
Alipur	PK	0792913886672	Asia/Karachi
Juhaynah	EG	8867491591132	Africa/Cairo
Igbara-Odo	NG	9301329313071	Africa/Lagos
Le Robert	MQ	0072112313989	America/Martinique
Sakaraha	MG	9182034740617	Indian/Antananarivo
Kangayam	IN	8076340896117	Asia/Kolkata
Solntsevo	RU	0034717005072	Europe/Moscow
Davis	US	1862964870872	America/Los_Angeles
North Tustin	US	7179450862346	America/Los_Angeles
Recife	BR	6685774959255	America/Recife
Tavda	RU	4871913907832	Asia/Yekaterinburg
Misterbianco	IT	9696705174330	Europe/Rome
Ken Caryl	US	0585723317296	America/Denver
Herblay	FR	8286692602728	Europe/Paris
Namerikawa	JP	7581565466133	Asia/Tokyo
Masbate	PH	6017334124023	Asia/Manila
Chapletown	GB	7479030812915	Europe/London
Hechingen	DE	6561457558383	Europe/Berlin
Durazno	UY	5281010279319	America/Montevideo
Brunswick	US	3911173891418	America/New_York
Oktyabr’skiy	RU	3204243222015	Asia/Yekaterinburg
Acayucan	MX	2422826855844	America/Mexico_City
Robertsonpet	IN	6930873653987	Asia/Kolkata
Pamiers	FR	2127832056635	Europe/Paris
Khairpur Mir’s	PK	3563983643772	Asia/Karachi
Sungurlu	TR	4326070138112	Europe/Istanbul
Boo	SE	1974703570865	Europe/Stockholm
Kolomyagi	RU	7627752902746	Europe/Moscow
Iwade	JP	8866686984179	Asia/Tokyo
Brenham	US	7573878001019	America/Chicago
Greenfield	US	3986761168968	America/Indiana/Indianapolis
Udumalaippettai	IN	1175266650234	Asia/Kolkata
New Yekepa	LR	3594281833947	Africa/Monrovia
Jackson	US	1508728397048	America/Chicago
San Carlos	CO	0997419878583	America/Bogota
Isfahan	IR	9817290194354	Asia/Tehran
Udumalaippettai	IN	7028081907189	Asia/Kolkata
Sungurlu	TR	5318897362046	Europe/Istanbul
Kashipur	IN	7921797192545	Asia/Kolkata
Mikhaylovka	RU	4962795696249	Europe/Volgograd
Mount Hagen	PG	5754498821184	Pacific/Port_Moresby
Valletta	MT	6010059426977	Europe/Malta
Vitebsk	BY	6263509924824	Europe/Minsk
Tchaourou	BJ	2707537695881	Africa/Porto-Novo
Suzaka	JP	6195349271540	Asia/Tokyo
Bua Yai	TH	9957712182566	Asia/Bangkok
Muncar	ID	3942250999840	Asia/Jakarta
Tinaquillo	VE	3456714439259	America/Caracas
Al Jubayl	SA	8295573363214	Asia/Riyadh
Kangayam	IN	0960523927522	Asia/Kolkata
Brunswick	US	9525841262673	America/New_York
Gingee	IN	0720787770988	Asia/Kolkata
Opportunity	US	2978336995131	America/Los_Angeles
Beveren	BE	2788837165410	Europe/Brussels
